Result,WhiteElo,BlackElo,Event_enc,ECO_enc,Termination_enc,TimeControl_enc
1,1757,1704,3,40,0,0
2,1415,1626,3,242,0,0
2,1500,1797,3,120,1,0
2,1287,1727,3,0,0,0
2,1439,1649,3,300,0,0
2,1756,1855,3,6,1,0
1,1625,1500,3,100,1,0
2,1389,1709,3,300,1,0
2,1908,1500,3,0,1,0
2,1490,1442,3,241,0,0
1,1431,1633,3,220,0,0
1,1945,2085,3,258,0,0
2,1343,1667,3,100,0,0
1,1601,1664,3,221,0,0
1,1761,1255,3,100,0,0
2,1322,1500,3,100,0,0
3,1500,1773,3,45,0,0
2,1773,1500,3,113,0,0
2,1298,1611,3,100,0,0
3,1820,1953,3,145,0,0
3,1983,2182,3,85,0,0
1,2032,1983,3,395,0,0
1,1673,1435,3,200,0,0
2,1233,1784,3,220,0,0
1,1529,1567,3,0,0,0
2,1679,1500,3,300,1,0
1,1500,1679,3,101,0,0
2,1832,1500,3,302,1,0
1,1653,1832,3,221,0,0
1,1801,1217,3,100,0,0
2,1667,1808,3,0,0,0
2,1625,1711,3,320,0,0
1,1625,1664,3,22,0,0
2,2160,2337,3,41,0,0
1,1662,1451,3,210,0,0
1,1672,1216,3,0,0,0
2,1779,1876,3,80,0,0
2,1204,1815,3,3,0,0
2,1468,1573,3,255,0,0
2,1983,2265,3,332,0,0
2,1514,1662,3,120,0,0
1,2265,2183,3,311,0,0
2,1451,1662,3,330,0,0
1,1233,1784,3,255,0,0
2,1500,1500,3,40,0,0
2,1575,1851,3,240,0,0
1,1827,1193,3,242,0,0
2,1433,1642,3,300,0,0
2,1500,1500,3,260,0,0
1,1407,1677,3,240,1,0
1,1500,1614,3,260,0,0
2,1500,1730,3,300,1,0
1,1739,1856,3,301,0,0
2,1500,1765,3,0,0,0
1,1366,1664,3,4,0,0
2,1451,1765,3,0,1,0
2,1184,1837,3,242,0,0
1,1343,1632,3,4,0,0
1,1614,1500,3,201,0,0
1,1500,1500,3,4,0,0
1,1750,1950,3,123,1,0
1,1750,1407,3,107,0,0
1,1500,1500,3,0,0,0
3,1618,1497,3,0,0,0
1,1578,1490,3,226,0,0
2,1545,1407,3,54,1,0
1,1977,2013,3,84,0,0
2,1604,1407,3,106,0,0
1,1500,1500,3,241,0,0
1,2241,1604,3,220,0,0
1,1845,1176,3,244,0,0
1,1464,1606,3,220,0,0
1,1407,1500,3,101,1,0
2,1500,1287,3,0,0,0
2,1500,1500,3,220,0,0
1,1530,1343,3,122,0,0
3,1565,1619,3,0,0,0
1,1451,1287,3,0,0,0
1,1343,1287,3,394,0,0
1,1343,1530,3,300,0,0
2,1383,1653,3,220,0,0
3,1498,1452,3,0,0,0
2,1562,1510,3,302,0,0
2,1456,1576,3,240,0,0
2,2119,2279,3,152,0,0
1,1658,1378,3,223,0,0
2,1460,1661,3,224,1,0
1,1501,1611,3,101,0,0
2,1546,1529,3,241,0,0
1,1454,1497,3,100,0,0
2,1658,1686,3,320,0,0
1,1401,1622,3,300,0,0
1,1646,1390,3,223,0,0
1,1374,1663,3,220,0,0
2,1354,1685,3,220,0,0
1,1460,1962,3,152,0,0
1,1795,1500,3,240,0,0
2,1697,1737,3,102,0,0
1,1560,1517,3,220,0,0
2,1763,1722,3,265,0,0
2,1701,1290,3,337,1,0
1,1795,1500,3,240,1,0
2,1938,2108,3,242,0,0
1,1584,1494,3,220,0,0
1,1519,1520,3,100,0,0
1,1642,1396,3,223,0,0
1,1500,1542,3,302,0,0
3,2372,2318,3,302,0,0
2,1696,1690,3,190,1,0
2,1495,1548,3,394,0,0
1,1983,2042,3,331,0,0
1,1476,1604,3,4,0,0
1,1500,1500,3,302,0,0
1,2183,2044,3,15,0,0
2,1562,1500,3,246,0,0
2,1500,1716,3,268,0,0
1,2103,1500,3,234,0,0
